alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1788985064.224,elite,8858.7965410143,1750186584.3407,"AS24641 FASTER CZ spol. s r.o.",FASTER-AS,Brno,Europe,EU,Czechia,CZ,,false,"FASTER CZ spol. s r.o.",49.1953,16.6016,false,,true,"South Moravian",success,Europe/Prague,"602 00",1788812263,1788985261.8209,80,http,95.129.101.73:80,false,11773.934602737,88908,40422,68.745070749246,95.129.101.73
true,1788985261.7459,elite,8233.0077080166,1788784200.0007,"AS20454 SECURED SERVERS LLC",SSASN2,Phoenix,"North America",NA,"United States",US,,true,"Secured Servers LLC",33.4532,-112.0748,false,InternetXS,true,Arizona,success,America/Phoenix,85001,1788783903,1788985261.7459,38538,http,174.138.162.37:38538,false,13292.017221451,68,1032,6.1818181818182,174.138.162.37
true,1788985261.6696,transparent,11329.293514442,1770674939.3682,"AS51167 Contabo GmbH",CONTABO,Lauterbourg,Europe,EU,France,FR,,true,"Contabo GmbH",48.9742,8.1851,false,"Contabo GmbH",true,"Grand Est",success,Europe/Paris,67630,1788818768,1788985261.6696,8888,http,173.212.222.244:8888,false,16931.511163712,44894,209057,17.678213513631,173.212.222.244
true,1788985260.9282,elite,2078.016797298,1781655129.7055,"AS24940 Hetzner Online GmbH",HETZNER-AS,Helsinki,Europe,EU,Finland,FI,,true,"Hetzner Online GmbH",60.1719,24.9347,false,"Hetzner Online GmbH",true,Uusimaa,success,Europe/Helsinki,00221,1788913155,1788985260.9282,18080,http,65.109.65.238:18080,false,4189.9189949036,9160,50846,15.265140152651,65.109.65.238
true,1788985260.77,transparent,6223.7842792142,1753689344.9841,"AS52468 UFINET PANAMA S.A.","UFINET PANAMA S.A.",Quito,"South America",SA,Ecuador,EC,,false,"Ufinet Panama S.A.",-0.2309,-78.5211,false,,true,Pichincha,success,America/Guayaquil,,1788775233,1788985260.77,999,http,177.234.217.88:999,false,2530.7967662811,39424,73358,34.955932684294,177.234.217.88
true,1788985260.708,transparent,12689.588026516,1788319706.2882,"AS4761 INDOSAT Internet Network Provider",INDOSAT-INP-AP,Kendari,Asia,AS,Indonesia,ID,,false,"PT. INDOSAT Tbk",-3.9778,122.515,false,"IOH B2B",false,"Southeast Sulawesi",success,Asia/Makassar,,1788922018,1788985260.708,3125,http,114.9.24.78:3125,false,15157.161474228,423,3419,11.009890681936,114.9.24.78
true,1788985259.9533,transparent,13134.547263526,1749740145.0451,"AS131705 PT Aneka Teguh Jaya",ANEKANET-AS-ID,"Pelabuhan Dagang",Asia,AS,Indonesia,ID,,false,ANEKANET,-1.1463,103.085,false,,true,Jambi,success,Asia/Jakarta,,1788837133,1788985259.9533,3125,http,103.154.178.34:3125,true,12244.798898697,1051,23938,4.2058505742527,103.154.178.34
true,1788984998.2607,elite,2855.6012595596,1782251443.7862,"AS139021 West263 International Limited",WEST263GO-HK,"Kwai Chung",Asia,AS,"Hong Kong",HK,,false,"West263 International Limited",22.3698,114.13,false,"Zhongya PTE LTD",true,"Kwai Tsing District",success,Asia/Hong_Kong,,1788903605,1788985259.6674,8888,http,103.43.191.71:8888,false,686.93995475769,106829,6417,94.333574695795,103.43.191.71
true,1788985259.604,transparent,6194.5161591376,1747515267.6475,"AS37148 Globacom Limited",globacom-as,Lagos,Africa,AF,Nigeria,NG,"Victoria Island Annex",false,GLO,6.43031,3.41306,false,,true,Lagos,success,Africa/Lagos,,1788792471,1788985259.604,8080,http,41.203.76.166:8080,false,4831.2094211578,37089,262786,12.368153397249,41.203.76.166
true,1788980978.8853,elite,2295.1059179456,1788595333.4574,"AS24940 Hetzner Online GmbH",HETZNER-AS,Nuremberg,Europe,EU,Germany,DE,,true,"Hetzner Online GmbH",49.4527,11.0783,false,Hetzner,false,Bavaria,success,Europe/Berlin,90403,1788593537,1788985259.6033,1085,http,167.233.169.253:1085,true,2143.3870792389,7243,81,98.894046968869,167.233.169.253
true,1788985259.4184,elite,9616.9764746481,1788437859.9033,"AS20454 SECURED SERVERS LLC",SSASN2,Phoenix,"North America",NA,"United States",US,,true,"Secured Servers LLC",33.4532,-112.0748,false,InternetXS,true,Arizona,success,America/Phoenix,85001,1788435073,1788985259.4184,33465,http,174.138.162.37:33465,false,4282.7410697937,201,2823,6.6468253968254,174.138.162.37
true,1788985258.891,transparent,6355.6694176432,1745415687.6512,"AS138862 PT. DIGITAL NETWORK SETIAWAN",DNS-AS-ID,"Bandar Lampung",Asia,AS,Indonesia,ID,,false,"Digital Network Setiawan",-5.3864,105.2902,false,,true,Lampung,success,Asia/Jakarta,35131,1788790966,1788985258.891,8080,http,103.139.98.69:8080,false,10654.135704041,14548,80277,15.341945689428,103.139.98.69
true,1788985257.9373,elite,9616.048482385,1788750786.8007,"AS20454 SECURED SERVERS LLC",SSASN2,Phoenix,"North America",NA,"United States",US,,true,"Secured Servers LLC",33.4532,-112.0748,false,"Secured Servers LLC",true,Arizona,success,America/Phoenix,85001,1788747730,1788985257.9373,36227,http,174.138.165.213:36227,false,14933.842658997,101,1218,7.6573161485974,174.138.165.213
true,1788985002.0204,transparent,3489.93143923,1784911789.6284,"AS45102 Alibaba (US) Technology Co., Ltd.",ALIBABA-CN-NET,Tokyo,Asia,AS,Japan,JP,,true,"Alibaba.com LLC",35.6893,139.6899,false,"NORTHERN CABLE AND FIBER, LLC, Delta Centric LLC, Zenlayer Inc",true,Tokyo,success,Asia/Tokyo,102-0082,1788539883,1788985257.6169,3128,http,47.79.33.142:3128,false,1273.0932235718,22583,20626,52.26457450994,47.79.33.142
